Delivery_Person_Age,Delivery_Person_Rating,Weather,Traffic_Level,Vehicle_Type,Area_Type,Order_Type,Festival,Multiple_Deliveries,Distance_km,Delivery_Time_min
38.0,3.2,,Low,Motorcycle,Rural,Dinner,Yes,2.0,4.0,72.0
25.0,3.8,,High,Motorcycle,Urban,Lunch,No,1.0,3.5,67.0
33.0,4.9,Rainy,High,Motorcycle,Suburban,Lunch,No,1.0,3.9,65.0
21.0,4.7,Sunny,Low,Motorcycle,Urban,Dinner,No,1.0,,59.0
34.0,3.6,Cloudy,Low,Scooter,Suburban,Lunch,No,0.0,12.7,86.0
14.0,4.1,Sunny,Low,Bicycle,Urban,Dinner,No,0.0,4.3,44.0
,3.1,Windy,High,Motorcycle,Suburban,Dinner,Yes,2.0,2.5,74.0
41.0,4.4,Windy,Medium,Scooter,Urban,Snack,No,1.0,2.2,68.0
25.0,3.8,Rainy,Medium,Motorcycle,Suburban,Snack,,0.0,4.2,61.0
33.0,3.4,Stormy,High,Motorcycle,Rural,Lunch,No,0.0,4.7,94.0
26.0,,Sunny,High,Bicycle,,Lunch,No,3.0,5.0,77.0
,4.6,Rainy,High,Motorcycle,Urban,Breakfast,No,0.0,3.4,58.0
26.0,4.1,Sunny,Low,Car,Urban,Lunch,No,0.0,8.2,56.0
27.0,4.4,,Jam,Car,Urban,Dinner,,3.0,4.4,96.0
24.0,4.7,Rainy,Low,Motorcycle,Suburban,Dinner,,2.0,2.4,75.0
27.0,3.3,,High,Car,Urban,Lunch,,1.0,0.5,54.0
23.0,4.1,Rainy,High,Scooter,,Snack,No,1.0,1.9,80.0
31.0,4.3,,Low,,Suburban,Breakfast,Yes,0.0,2.4,69.0
36.0,3.9,Cloudy,High,Motorcycle,Urban,Breakfast,No,1.0,7.0,76.0
37.0,4.6,Cloudy,Medium,Motorcycle,Urban,Lunch,No,0.0,1.3,56.0
30.0,4.6,Cloudy,Medium,,Urban,,No,1.0,2.0,45.0
23.0,4.6,,High,Car,Suburban,Lunch,No,2.0,5.2,74.0
23.0,4.5,Rainy,High,Motorcycle,Urban,Dinner,No,0.0,4.9,86.0
29.0,4.0,Windy,Low,Scooter,Suburban,Dinner,No,0.0,1.1,30.0
33.0,3.9,Rainy,Low,Bicycle,Suburban,Lunch,,1.0,2.9,44.0
19.0,5.0,Cloudy,Medium,Scooter,Rural,Lunch,Yes,1.0,10.0,91.0
27.0,3.6,Rainy,Medium,Motorcycle,Suburban,Dinner,Yes,1.0,0.1,50.0
,3.5,Stormy,Medium,Motorcycle,Suburban,Dinner,Yes,0.0,5.7,85.0
33.0,3.8,Cloudy,Medium,Scooter,Suburban,Snack,No,3.0,16.8,86.0
30.0,5.0,Sunny,,Motorcycle,Suburban,Breakfast,No,2.0,7.8,66.0
27.0,4.6,Rainy,Low,Motorcycle,,Dinner,No,2.0,5.8,66.0
25.0,4.4,Rainy,High,Motorcycle,Urban,Lunch,No,1.0,5.6,85.0
12.0,4.2,Sunny,Jam,Motorcycle,Suburban,Lunch,Yes,0.0,7.6,85.0
29.0,4.4,Sunny,Jam,Motorcycle,Urban,Dinner,,2.0,7.9,83.0
26.0,3.7,Sunny,High,Motorcycle,Rural,Dinner,No,2.0,5.9,80.0
19.0,3.5,Rainy,Medium,Motorcycle,Suburban,Dinner,,1.0,7.8,71.0
29.0,4.1,,High,Motorcycle,Rural,,No,1.0,3.4,77.0
30.0,4.6,Rainy,Medium,Car,Rural,Lunch,No,1.0,,67.0
22.0,4.1,Stormy,Jam,Scooter,Rural,Lunch,No,2.0,4.6,81.0
25.0,4.8,Rainy,,Motorcycle,Urban,Dinner,No,2.0,4.8,69.0
29.0,4.7,Cloudy,High,Bicycle,Suburban,Lunch,No,1.0,1.8,66.0
39.0,4.3,Rainy,High,Motorcycle,Urban,Lunch,No,2.0,4.3,78.0
30.0,3.5,Rainy,,,Urban,Lunch,No,0.0,2.9,77.0
16.0,4.8,Rainy,Medium,Motorcycle,,Dinner,No,0.0,4.2,46.0
36.0,3.6,Windy,Low,Motorcycle,Suburban,Breakfast,No,2.0,6.4,70.0
28.0,4.8,Sunny,Low,Bike,Suburban,Lunch,No,0.0,6.5,46.0
24.0,3.8,Stormy,High,Motorcycle,Rural,Breakfast,Yes,1.0,9.4,110.0
31.0,4.5,Stormy,High,Scooter,Urban,Dinner,No,1.0,1.2,72.0
27.0,3.8,Sunny,High,Motorcycle,Suburban,Dinner,Yes,1.0,4.4,76.0
29.0,4.2,Sunny,Medium,Bicycle,Urban,,No,2.0,4.8,73.0
28.0,4.4,Rainy,Medium,Motorcycle,Urban,Lunch,Yes,0.0,10.5,94.0
14.0,4.6,Rainy,Medium,Motorcycle,Suburban,Snack,,2.0,5.3,52.0
27.0,4.2,Cloudy,Medium,Motorcycle,,Lunch,No,1.0,3.2,59.0
30.0,4.9,Sunny,Low,Scooter,Suburban,Lunch,Yes,1.0,3.0,65.0
32.0,4.1,Cloudy,Jam,Motorcycle,Urban,Lunch,No,1.0,4.4,89.0
36.0,3.8,Sunny,,Bicycle,Suburban,Lunch,No,0.0,2.8,46.0
30.0,4.6,Rainy,Low,Motorcycle,Urban,Snack,Yes,1.0,4.4,70.0
20.0,4.6,Cloudy,Medium,Car,Urban,Breakfast,No,1.0,8.4,67.0
25.0,3.6,Rainy,Medium,,Suburban,Dinner,No,2.0,3.6,68.0
28.0,4.0,Stormy,Low,Bike,,Lunch,No,0.0,0.8,56.0
21.0,4.6,Cloudy,High,Motorcycle,Urban,Dinner,No,1.0,5.3,66.0
20.0,4.2,Rainy,,Motorcycle,Suburban,Lunch,,2.0,5.7,55.0
22.0,4.0,Sunny,Low,Scooter,Urban,Breakfast,,1.0,8.8,58.0
19.0,4.4,Sunny,High,Motorcycle,Urban,Dinner,No,0.0,4.7,74.0
28.0,3.7,Cloudy,Low,Car,Suburban,Dinner,No,0.0,1.1,33.0
36.0,4.7,Windy,Medium,Motorcycle,Urban,Dinner,No,0.0,2.0,65.0
36.0,4.6,Stormy,,Motorcycle,Urban,Lunch,,0.0,10.6,103.0
30.0,3.9,Rainy,Medium,Motorcycle,Urban,Dinner,,2.0,0.2,50.0
17.0,3.9,Sunny,Medium,Car,Suburban,Breakfast,No,3.0,0.1,51.0
23.0,4.6,Stormy,High,Motorcycle,,Lunch,No,0.0,17.6,120.0
35.0,3.7,Rainy,,,Suburban,Snack,No,1.0,8.3,72.0
44.0,4.2,Sunny,High,Scooter,Suburban,Lunch,No,0.0,,78.0
30.0,4.1,Rainy,,Car,Suburban,Breakfast,Yes,1.0,1.2,70.0
29.0,3.3,Sunny,Medium,Motorcycle,Urban,Lunch,No,1.0,0.3,45.0
41.0,4.1,Rainy,High,Motorcycle,Rural,Lunch,No,0.0,4.1,50.0
25.0,4.6,Cloudy,Medium,Motorcycle,Urban,Dinner,,0.0,11.7,75.0
20.0,4.2,Rainy,,Scooter,Suburban,Snack,Yes,0.0,6.6,79.0
29.0,4.2,Sunny,Low,Motorcycle,Suburban,Dinner,No,1.0,1.3,61.0
29.0,4.3,Sunny,Medium,Car,Rural,Dinner,,3.0,2.5,50.0
31.0,4.3,Cloudy,Medium,Bike,,Lunch,,2.0,3.1,58.0
30.0,4.8,Sunny,Medium,Motorcycle,Rural,Breakfast,No,2.0,8.2,91.0
26.0,3.3,Cloudy,Medium,Motorcycle,Rural,Breakfast,No,2.0,9.9,81.0
40.0,,Rainy,Medium,Motorcycle,Suburban,Dinner,No,2.0,3.8,63.0
28.0,4.1,Cloudy,Jam,Motorcycle,Urban,Dinner,Yes,1.0,7.6,92.0
41.0,4.0,Rainy,High,Motorcycle,Rural,Dinner,No,0.0,5.7,66.0
26.0,3.6,Rainy,High,Scooter,Urban,Dinner,No,2.0,3.9,82.0
35.0,4.7,Cloudy,Low,Motorcycle,Urban,Dinner,No,1.0,1.8,49.0
25.0,4.8,Stormy,High,Scooter,Rural,Dinner,Yes,0.0,3.0,81.0
27.0,4.3,Sunny,,Car,Urban,Dinner,No,3.0,5.9,65.0
34.0,4.8,Rainy,Medium,Motorcycle,Urban,Lunch,Yes,1.0,4.8,74.0
25.0,3.7,,,Bicycle,Suburban,Lunch,Yes,1.0,0.6,44.0
25.0,4.0,Cloudy,Low,Motorcycle,Rural,,No,1.0,5.5,54.0
29.0,3.7,,Medium,Bicycle,Suburban,Lunch,Yes,0.0,3.8,69.0
39.0,4.9,Sunny,High,Scooter,Urban,Lunch,No,1.0,1.5,50.0
26.0,4.5,Windy,Medium,Motorcycle,Suburban,Lunch,No,0.0,2.5,45.0
28.0,4.5,Cloudy,Low,Scooter,Suburban,Breakfast,,1.0,7.5,70.0
26.0,4.0,Sunny,High,Motorcycle,Suburban,Dinner,No,4.0,2.9,72.0
29.0,4.5,Sunny,Medium,Motorcycle,Urban,Lunch,No,1.0,2.0,57.0
26.0,4.7,Sunny,Medium,,Urban,Dinner,Yes,0.0,6.6,62.0
31.0,,Rainy,,Scooter,Urban,Dinner,No,2.0,5.6,83.0
32.0,3.3,Sunny,Medium,Scooter,Urban,Snack,No,1.0,5.0,46.0
27.0,4.1,Cloudy,Medium,Motorcycle,Urban,Breakfast,No,1.0,4.2,63.0
16.0,3.7,Rainy,High,Motorcycle,Rural,Lunch,No,0.0,2.9,72.0
33.0,3.5,Sunny,High,Motorcycle,Rural,Snack,No,0.0,3.9,59.0
39.0,3.8,Windy,,Car,Rural,Breakfast,Yes,1.0,0.6,71.0
20.0,4.6,Sunny,Medium,Bicycle,Urban,Dinner,No,3.0,11.6,93.0
20.0,4.1,Rainy,Jam,Motorcycle,Urban,Lunch,No,1.0,7.0,112.0
27.0,3.8,Sunny,High,Bicycle,Rural,,No,1.0,1.5,63.0
29.0,3.9,Cloudy,High,Motorcycle,Urban,Lunch,No,2.0,2.8,56.0
29.0,4.3,Cloudy,Medium,Bicycle,Urban,Snack,No,1.0,3.1,52.0
25.0,4.3,Sunny,Low,Bicycle,Urban,Dinner,No,0.0,6.8,59.0
15.0,3.9,Rainy,Medium,Motorcycle,Urban,Breakfast,No,1.0,4.6,74.0
22.0,4.2,Stormy,High,Motorcycle,Suburban,Breakfast,Yes,1.0,2.6,89.0
27.0,3.7,Stormy,Medium,Scooter,Suburban,Breakfast,No,1.0,8.0,89.0
22.0,4.1,,Low,Motorcycle,Urban,Dinner,,2.0,1.1,60.0
25.0,4.6,Cloudy,Medium,Bicycle,Suburban,Dinner,No,2.0,9.6,63.0
30.0,3.9,,High,Bicycle,Urban,Breakfast,No,2.0,6.0,91.0
39.0,4.2,Sunny,High,Scooter,,Dinner,No,0.0,1.9,57.0
35.0,3.5,Windy,,Motorcycle,Urban,Dinner,,1.0,5.3,66.0
38.0,4.5,Sunny,High,Car,Urban,Dinner,,0.0,6.8,65.0
25.0,4.6,Cloudy,High,Motorcycle,Urban,Dinner,Yes,1.0,3.3,84.0
33.0,4.9,Rainy,High,Car,Urban,Dinner,No,1.0,6.4,74.0
21.0,4.2,Sunny,High,Motorcycle,Urban,Dinner,No,2.0,6.2,74.0
16.0,3.7,Cloudy,High,Car,Rural,Dinner,No,0.0,6.1,67.0
33.0,4.1,Windy,Low,Motorcycle,Urban,Snack,No,2.0,,52.0
39.0,3.9,Rainy,Medium,Scooter,Rural,Dinner,No,0.0,3.1,56.0
29.0,5.0,Rainy,High,Bicycle,Suburban,Lunch,Yes,1.0,5.2,101.0
22.0,4.9,Cloudy,Medium,Car,Suburban,Snack,No,1.0,5.6,61.0
28.0,4.2,Rainy,Jam,Motorcycle,Urban,Lunch,No,2.0,8.4,100.0
27.0,3.9,Windy,High,Car,Urban,Lunch,Yes,3.0,3.7,80.0
26.0,3.7,Sunny,Medium,,Urban,,No,0.0,3.1,44.0
31.0,3.8,,Low,Car,Rural,,No,0.0,4.0,61.0
39.0,4.2,Sunny,High,Bicycle,Urban,Lunch,No,2.0,5.0,75.0
34.0,3.6,Rainy,Low,Scooter,Suburban,Lunch,Yes,0.0,7.0,70.0
37.0,4.6,Sunny,Medium,Car,Urban,Lunch,No,0.0,3.0,54.0
34.0,4.6,Sunny,Medium,Motorcycle,Suburban,Lunch,No,2.0,,60.0
39.0,4.1,,Low,Motorcycle,Urban,Dinner,No,1.0,4.8,69.0
24.0,4.5,Rainy,Medium,Bicycle,Suburban,Breakfast,Yes,0.0,1.3,74.0
34.0,3.9,Sunny,Medium,Motorcycle,Urban,Lunch,No,1.0,25.0,115.0
29.0,4.9,Rainy,Medium,Motorcycle,Suburban,Snack,No,3.0,1.2,56.0
27.0,5.0,Windy,High,,Suburban,Dinner,Yes,1.0,2.6,98.0
26.0,4.3,Sunny,Medium,Motorcycle,Rural,Snack,,3.0,9.8,56.0
32.0,4.3,,High,Motorcycle,Urban,Dinner,,2.0,1.1,65.0
28.0,4.1,Stormy,Jam,Motorcycle,Rural,Lunch,No,1.0,0.6,76.0
24.0,4.1,Sunny,High,Motorcycle,Urban,Snack,Yes,1.0,25.4,120.0
28.0,3.7,Cloudy,Low,Motorcycle,Suburban,Dinner,No,,6.0,47.0
28.0,4.9,Rainy,,Scooter,Urban,Dinner,Yes,0.0,21.8,120.0
28.0,4.2,Sunny,Low,Scooter,Rural,Dinner,No,1.0,6.6,54.0
23.0,3.8,Rainy,Low,Car,Urban,Dinner,No,0.0,1.9,39.0
25.0,4.7,,Medium,,Urban,Lunch,No,0.0,3.5,56.0
29.0,3.6,Rainy,Medium,Scooter,Urban,Breakfast,Yes,3.0,0.8,79.0
20.0,5.0,Sunny,High,Motorcycle,Urban,,No,3.0,8.7,73.0
27.0,4.3,Rainy,Medium,Motorcycle,Urban,Lunch,Yes,1.0,5.5,86.0
30.0,4.2,Rainy,Medium,Motorcycle,Urban,Breakfast,No,2.0,3.6,65.0
33.0,3.8,Sunny,Medium,Motorcycle,Suburban,Snack,Yes,3.0,4.7,71.0
25.0,4.8,Rainy,Low,Motorcycle,Suburban,Lunch,No,2.0,9.0,66.0
29.0,4.3,Rainy,Medium,Scooter,Suburban,Lunch,No,0.0,6.0,77.0
27.0,4.6,,High,Motorcycle,Urban,Lunch,No,3.0,10.5,99.0
36.0,3.9,Cloudy,Medium,,Suburban,Snack,No,0.0,3.7,42.0
19.0,4.6,Rainy,Low,Car,Urban,Dinner,No,2.0,9.8,74.0
32.0,3.0,Rainy,High,Scooter,Urban,Snack,No,3.0,13.0,89.0
23.0,3.8,Sunny,Medium,Motorcycle,Suburban,Lunch,No,2.0,9.0,82.0
19.0,3.8,Rainy,Medium,Bicycle,Rural,Dinner,No,5.0,4.3,82.0
23.0,3.7,Sunny,Medium,Scooter,Suburban,Snack,Yes,0.0,6.9,61.0
32.0,,Sunny,Jam,Bicycle,Urban,Lunch,No,1.0,2.1,75.0
20.0,4.6,Rainy,Medium,Bicycle,Urban,Lunch,Yes,1.0,4.3,75.0
23.0,3.5,Sunny,High,,,Dinner,,1.0,7.9,90.0
29.0,3.3,Stormy,High,Scooter,Urban,Lunch,Yes,2.0,2.9,105.0
35.0,4.9,Rainy,Medium,Motorcycle,Suburban,Lunch,Yes,1.0,9.2,103.0
31.0,,Rainy,Low,Motorcycle,,Snack,No,0.0,2.0,58.0
35.0,4.8,Sunny,High,Car,Suburban,Lunch,,1.0,11.2,76.0
30.0,3.9,Sunny,High,Scooter,Urban,Lunch,No,4.0,11.0,91.0
27.0,4.7,Cloudy,High,Motorcycle,Urban,Lunch,,3.0,0.6,80.0
28.0,3.8,Cloudy,High,Motorcycle,Rural,Dinner,No,1.0,3.4,69.0
35.0,3.6,Sunny,Jam,Motorcycle,Urban,Dinner,No,1.0,5.9,77.0
31.0,3.8,Sunny,Medium,,Suburban,Snack,No,0.0,6.5,62.0
37.0,4.4,Cloudy,High,Scooter,Rural,Dinner,No,2.0,5.4,78.0
34.0,3.8,Windy,Jam,Motorcycle,Suburban,Dinner,Yes,1.0,4.0,95.0
28.0,3.6,,High,Motorcycle,Urban,Dinner,Yes,0.0,7.6,100.0
26.0,4.3,Windy,High,Motorcycle,Suburban,,No,0.0,2.9,78.0
27.0,4.2,Cloudy,Medium,Motorcycle,Urban,Dinner,No,3.0,0.7,39.0
27.0,4.0,Rainy,,Motorcycle,,Breakfast,,0.0,9.1,88.0
33.0,3.9,Sunny,Low,Car,Rural,Dinner,No,4.0,3.5,52.0
30.0,5.0,,Medium,Motorcycle,Urban,Dinner,No,2.0,4.9,59.0
28.0,4.4,Sunny,Medium,Motorcycle,Urban,Lunch,No,0.0,8.3,64.0
36.0,4.3,Rainy,High,Motorcycle,Urban,Lunch,No,1.0,5.4,85.0
27.0,3.4,Windy,Medium,Scooter,Urban,Dinner,,0.0,3.8,56.0
32.0,3.7,Cloudy,High,Motorcycle,Suburban,Dinner,Yes,1.0,1.7,63.0
29.0,4.3,Cloudy,High,Bicycle,Urban,Snack,No,0.0,7.2,93.0
24.0,4.7,Sunny,Jam,Scooter,Suburban,Breakfast,No,0.0,3.6,82.0
31.0,5.0,Sunny,Low,Scooter,Suburban,Lunch,No,1.0,9.9,58.0
33.0,4.3,Stormy,Medium,Car,Urban,Lunch,No,1.0,5.2,81.0
42.0,4.1,Rainy,Medium,,Suburban,Lunch,No,2.0,1.8,57.0
30.0,4.6,Windy,Low,Scooter,Urban,Dinner,Yes,2.0,13.1,90.0
22.0,5.0,Rainy,Medium,Motorcycle,Urban,,Yes,0.0,2.3,49.0
36.0,4.3,Sunny,Medium,Car,Suburban,Dinner,,1.0,11.0,69.0
26.0,4.0,Cloudy,High,,Suburban,Lunch,Yes,1.0,3.5,98.0
30.0,3.8,Rainy,Medium,Motorcycle,Urban,Snack,No,4.0,10.0,90.0
39.0,4.2,Rainy,High,Car,Urban,Breakfast,Yes,0.0,8.7,110.0
29.0,4.4,Rainy,Medium,Bicycle,Urban,Lunch,No,1.0,9.2,62.0
32.0,3.9,Rainy,Medium,Motorcycle,Urban,Dinner,No,5.0,2.3,64.0
32.0,5.0,Stormy,High,Motorcycle,Urban,Snack,No,1.0,3.2,81.0
20.0,4.2,Sunny,High,Car,Urban,Lunch,No,2.0,7.6,84.0
33.0,5.0,Rainy,Medium,Motorcycle,Urban,Snack,No,3.0,7.4,76.0
33.0,4.5,Cloudy,Medium,Scooter,,Dinner,No,0.0,5.1,63.0
31.0,4.0,Sunny,Medium,Motorcycle,Urban,Lunch,No,2.0,10.3,65.0
25.0,3.6,Windy,Medium,Car,Urban,Dinner,No,3.0,4.2,61.0
46.0,3.1,Rainy,Medium,Motorcycle,Urban,Lunch,No,1.0,8.1,80.0
28.0,4.3,,Low,Scooter,Urban,Dinner,No,2.0,7.3,67.0
29.0,4.3,Stormy,High,Motorcycle,Suburban,Dinner,No,3.0,3.8,87.0
33.0,4.4,Sunny,Medium,Motorcycle,Urban,,No,1.0,4.2,53.0
24.0,4.3,Stormy,High,Car,Rural,Dinner,No,1.0,0.8,79.0
33.0,4.4,Sunny,High,Motorcycle,Suburban,Breakfast,No,1.0,6.7,84.0
16.0,4.1,,Medium,Motorcycle,Urban,Dinner,Yes,2.0,3.9,72.0
19.0,4.5,Rainy,Low,Motorcycle,Urban,Dinner,No,0.0,0.8,28.0
33.0,5.0,Sunny,High,Scooter,Urban,,,0.0,17.6,74.0
23.0,5.0,Sunny,High,Motorcycle,Urban,Snack,No,1.0,8.1,78.0
25.0,4.3,Cloudy,Medium,Motorcycle,Urban,Lunch,Yes,1.0,3.1,64.0
37.0,4.5,,Medium,Motorcycle,Rural,Breakfast,No,0.0,10.6,74.0
31.0,5.0,Cloudy,Low,Scooter,Urban,Dinner,No,3.0,0.9,44.0
30.0,3.7,Rainy,High,Bicycle,Suburban,Breakfast,No,1.0,4.2,80.0
24.0,3.6,Cloudy,High,Scooter,Urban,Snack,No,1.0,3.3,70.0
27.0,3.7,Cloudy,Jam,Scooter,Rural,Lunch,Yes,2.0,3.4,94.0
36.0,4.0,Sunny,Jam,Bicycle,Urban,Lunch,No,1.0,5.5,68.0
18.0,4.1,Stormy,Medium,Motorcycle,Urban,Snack,No,2.0,4.9,69.0
,3.7,,High,Motorcycle,Urban,Breakfast,No,2.0,2.8,67.0
21.0,4.2,Sunny,Low,Motorcycle,Urban,Lunch,No,0.0,1.1,36.0
30.0,3.9,Sunny,Medium,Motorcycle,Suburban,Dinner,Yes,1.0,4.5,69.0
45.0,3.8,Cloudy,High,Motorcycle,Urban,Dinner,No,0.0,8.6,99.0
28.0,4.8,,High,Scooter,Suburban,Dinner,Yes,3.0,,120.0
16.0,4.0,Sunny,Medium,Motorcycle,Suburban,Snack,No,2.0,3.7,58.0
36.0,4.1,,High,Motorcycle,Urban,Dinner,No,3.0,2.8,70.0
17.0,4.1,Rainy,Low,Scooter,,Snack,No,0.0,3.1,56.0
34.0,4.6,Rainy,High,Scooter,,Dinner,No,3.0,12.8,108.0
29.0,4.6,Rainy,Low,Scooter,Urban,Lunch,,1.0,2.1,51.0
24.0,3.7,Windy,Medium,Bicycle,Urban,Lunch,No,1.0,3.9,54.0
34.0,4.4,Rainy,Low,Motorcycle,Rural,Snack,No,1.0,7.2,58.0
34.0,4.2,Sunny,Medium,Motorcycle,Urban,Lunch,No,0.0,4.1,53.0
20.0,4.7,Cloudy,High,Motorcycle,Urban,Dinner,No,0.0,9.3,94.0
30.0,4.4,Rainy,Medium,Motorcycle,,Lunch,No,1.0,9.4,64.0
,4.5,Cloudy,High,Motorcycle,Suburban,Lunch,No,3.0,3.4,78.0
26.0,4.6,Stormy,High,Motorcycle,Urban,,No,3.0,2.1,91.0
31.0,,Cloudy,Jam,Scooter,Urban,Breakfast,,1.0,4.9,67.0
21.0,4.0,Rainy,Medium,Motorcycle,Urban,Breakfast,No,0.0,1.7,55.0
35.0,4.2,Stormy,Medium,Motorcycle,,Dinner,Yes,2.0,1.3,66.0
24.0,3.8,Rainy,High,Motorcycle,Suburban,Lunch,No,2.0,2.8,76.0
22.0,4.3,Cloudy,Medium,Motorcycle,Suburban,Lunch,,2.0,3.5,56.0
21.0,,Rainy,Low,Motorcycle,Urban,Breakfast,Yes,0.0,3.6,60.0
27.0,4.1,Cloudy,Jam,Motorcycle,Urban,Dinner,No,0.0,5.4,84.0
35.0,4.2,Stormy,Medium,Motorcycle,Urban,Lunch,Yes,1.0,1.1,69.0
20.0,3.8,Sunny,High,Motorcycle,Suburban,Dinner,Yes,0.0,6.5,98.0
33.0,4.2,Cloudy,High,Scooter,,Breakfast,Yes,1.0,2.5,86.0
36.0,4.2,Sunny,Low,Car,Suburban,Dinner,No,4.0,6.5,59.0
16.0,4.0,Sunny,Jam,Motorcycle,Urban,Dinner,No,1.0,4.2,80.0
30.0,4.1,Sunny,Medium,Motorcycle,Urban,Breakfast,No,3.0,2.8,56.0
28.0,4.1,Stormy,High,Scooter,Suburban,Dinner,No,1.0,0.8,82.0
37.0,4.4,Sunny,High,Scooter,Urban,Lunch,No,1.0,1.7,62.0
31.0,4.4,Rainy,Medium,Motorcycle,Suburban,Lunch,No,0.0,10.3,55.0
19.0,4.0,Rainy,,Scooter,Rural,Lunch,No,3.0,4.8,71.0
28.0,4.8,Rainy,High,Motorcycle,Urban,Breakfast,,3.0,0.5,68.0
26.0,4.7,,Low,Car,Urban,Lunch,No,1.0,3.9,71.0
39.0,5.0,Rainy,Medium,Motorcycle,Suburban,Lunch,No,1.0,5.7,70.0
24.0,3.4,Stormy,Low,Motorcycle,Urban,Lunch,No,4.0,7.7,67.0
25.0,3.9,Sunny,,Car,Rural,Lunch,Yes,2.0,6.7,69.0
30.0,4.6,Windy,High,Motorcycle,Suburban,Lunch,No,1.0,3.8,66.0
38.0,3.6,Cloudy,Low,Motorcycle,Urban,Lunch,No,1.0,2.7,52.0
36.0,4.4,Cloudy,High,Motorcycle,Urban,Dinner,Yes,0.0,0.4,59.0
33.0,4.0,Rainy,Medium,Scooter,Suburban,Lunch,No,2.0,2.7,76.0
29.0,4.7,Windy,High,Motorcycle,Urban,Lunch,,3.0,7.0,85.0
35.0,4.2,Rainy,High,Bicycle,Urban,Lunch,No,2.0,12.9,92.0
27.0,3.5,Sunny,Jam,Motorcycle,Urban,Dinner,,1.0,3.0,58.0
22.0,4.6,Stormy,Low,Motorcycle,Suburban,Lunch,No,2.0,1.6,64.0
26.0,4.6,Cloudy,High,Motorcycle,Suburban,Lunch,Yes,1.0,5.4,68.0
22.0,4.8,Windy,Medium,Scooter,Suburban,Dinner,No,0.0,4.7,58.0
27.0,3.1,Sunny,Low,Motorcycle,Suburban,Breakfast,No,3.0,2.6,48.0
20.0,4.5,Rainy,,Scooter,Suburban,Dinner,No,2.0,2.4,53.0
28.0,4.3,Cloudy,High,Motorcycle,Suburban,Breakfast,,2.0,8.5,76.0
42.0,3.6,Sunny,Jam,Motorcycle,Urban,Lunch,No,2.0,6.0,88.0
18.0,4.2,Cloudy,Medium,Motorcycle,Urban,Snack,Yes,1.0,4.4,73.0
22.0,4.8,Sunny,Low,Bicycle,Suburban,Lunch,No,1.0,5.8,58.0
31.0,3.9,Sunny,High,Motorcycle,Rural,,No,3.0,3.3,62.0
,3.4,Windy,,Motorcycle,Rural,Lunch,,,5.4,56.0
29.0,4.6,Rainy,Medium,Motorcycle,,Breakfast,No,3.0,1.7,61.0
29.0,4.6,Rainy,Medium,Motorcycle,Rural,Lunch,No,1.0,2.9,60.0
36.0,4.4,Rainy,High,Motorcycle,Urban,Lunch,No,1.0,1.1,84.0
20.0,3.9,Rainy,Medium,Scooter,,Snack,No,2.0,3.8,66.0
27.0,4.4,Rainy,Low,Motorcycle,,Lunch,No,1.0,3.2,64.0
25.0,4.4,Rainy,High,Motorcycle,Rural,Breakfast,No,0.0,0.5,62.0
25.0,4.3,Rainy,Low,Motorcycle,Urban,Dinner,Yes,1.0,11.0,101.0
21.0,5.0,Rainy,Medium,Motorcycle,Urban,Snack,Yes,1.0,4.9,71.0
37.0,3.2,Rainy,Low,Motorcycle,Urban,Lunch,No,1.0,3.2,70.0
,4.4,Sunny,High,Motorcycle,Urban,Lunch,No,0.0,6.6,74.0
26.0,5.0,Windy,High,Motorcycle,Urban,Lunch,No,1.0,2.4,80.0
31.0,4.9,Stormy,High,Scooter,,Dinner,No,1.0,1.9,94.0
23.0,4.4,Cloudy,Low,Motorcycle,Suburban,Breakfast,Yes,1.0,3.2,66.0
23.0,4.8,Cloudy,High,Car,,Dinner,,1.0,13.1,106.0
32.0,3.6,Sunny,Low,Motorcycle,Urban,Lunch,Yes,1.0,3.5,47.0
31.0,4.0,Windy,High,,Urban,,,0.0,4.5,82.0
21.0,4.7,Windy,Low,Motorcycle,Rural,Snack,No,0.0,6.0,52.0
30.0,3.5,Rainy,Medium,Motorcycle,Urban,Breakfast,No,4.0,2.3,54.0
37.0,3.8,,Jam,Scooter,Rural,Lunch,Yes,1.0,10.0,104.0
35.0,4.9,Rainy,Low,Scooter,Suburban,,No,3.0,8.7,62.0
17.0,3.5,,High,Car,Suburban,Snack,No,2.0,12.8,119.0
27.0,4.6,Rainy,Medium,Scooter,Urban,Snack,No,2.0,0.8,70.0
39.0,4.5,Sunny,Medium,Motorcycle,Urban,Dinner,No,0.0,7.6,59.0
16.0,3.9,Cloudy,Jam,Motorcycle,Urban,Dinner,No,4.0,2.5,86.0
29.0,4.3,Windy,Medium,Scooter,Suburban,,No,0.0,8.2,72.0
30.0,4.4,Rainy,Low,Car,Urban,Dinner,,3.0,4.8,65.0
27.0,4.5,Rainy,High,Motorcycle,Urban,Dinner,Yes,1.0,3.3,77.0
33.0,4.5,Sunny,High,Scooter,,Dinner,No,1.0,7.2,97.0
25.0,3.9,Cloudy,Medium,Motorcycle,Urban,Dinner,No,5.0,7.7,82.0
34.0,4.4,,Medium,Motorcycle,Urban,Dinner,,1.0,18.0,90.0
36.0,3.8,,High,Bicycle,Rural,Lunch,No,2.0,11.9,92.0
